koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_snr,koi_steff,koi_slogg,koi_srad,koi_disposition,period,duration,depth,prad,impact,snr,steff,slogg,srad,disposition,mission,prediction,confidence,confirmed_label
2.115498574,6.738,444.2,25.84,1.215,45.4,5917.0,4.475,1.0,FALSE POSITIVE,2.115498574,6.738,444.2,25.84,1.215,45.4,5917.0,4.475,1.0,FALSE POSITIVE,kepler,FALSE POSITIVE,0.39474466,FALSE POSITIVE
3.40076682,4.7,21.1,0.69,0.256,7.4,6134.0,4.142,1.496,FALSE POSITIVE,3.40076682,4.7,21.1,0.69,0.256,7.4,6134.0,4.142,1.496,CONFIRMED,kepler,CONFIRMED,0.58669037,CONFIRMED
6.49676881,2.527,135.0,3.74,0.643,10.6,6418.0,3.658,3.049,FALSE POSITIVE,6.49676881,2.527,135.0,3.74,0.643,10.6,6418.0,3.658,3.049,CANDIDATE,kepler,CANDIDATE,0.45545787,CANDIDATE
2.057499811,2.569,325.6,1.27,0.004,23.6,4620.0,4.564,0.736,FALSE POSITIVE,2.057499811,2.569,325.6,1.27,0.004,23.6,4620.0,4.564,0.736,CONFIRMED,kepler,CONFIRMED,0.6300584,CONFIRMED
10.5856758,4.911,178.7,1.49,0.474,8.1,6246.0,4.433,1.092,FALSE POSITIVE,10.5856758,4.911,178.7,1.49,0.474,8.1,6246.0,4.433,1.092,CONFIRMED,kepler,CONFIRMED,0.5207378,CONFIRMED
2.69633621,5.238,238.6,15.78,1.141,26.5,6106.0,4.496,0.923,FALSE POSITIVE,2.69633621,5.238,238.6,15.78,1.141,26.5,6106.0,4.496,0.923,CONFIRMED,kepler,CONFIRMED,0.3861184,CONFIRMED
11.2580745,23.516,713.3,2.14,0.955,55.4,4257.0,4.691,0.586,FALSE POSITIVE,11.2580745,23.516,713.3,2.14,0.955,55.4,4257.0,4.691,0.586,FALSE POSITIVE,kepler,FALSE POSITIVE,0.7016317,FALSE POSITIVE
0.566795586,4.124,39.4,0.66,0.686,19.6,6108.0,4.471,0.997,FALSE POSITIVE,0.566795586,4.124,39.4,0.66,0.686,19.6,6108.0,4.471,0.997,CONFIRMED,kepler,CONFIRMED,0.46075577,CONFIRMED
1.099291188,1.765,282.6,1.37,0.077,19.8,4878.0,4.5,0.843,FALSE POSITIVE,1.099291188,1.765,282.6,1.37,0.077,19.8,4878.0,4.5,0.843,CONFIRMED,kepler,CONFIRMED,0.6257169,CONFIRMED
0.47462889,1.0194,331.3,1.43,0.377,31.2,4904.0,4.527,0.786,FALSE POSITIVE,0.47462889,1.0194,331.3,1.43,0.377,31.2,4904.0,4.527,0.786,CONFIRMED,kepler,CONFIRMED,0.6154085,CONFIRMED
103.4269873,5.03,950.1,3.16,0.013,17.8,6208.0,4.454,1.024,CONFIRMED,103.4269873,5.03,950.1,3.16,0.013,17.8,6208.0,4.454,1.024,CONFIRMED,kepler,CONFIRMED,0.5212989,CONFIRMED
0.352515897,1.0525,168.2,1.0,0.26,38.0,5465.0,4.598,0.766,CANDIDATE,0.352515897,1.0525,168.2,1.0,0.26,38.0,5465.0,4.598,0.766,CONFIRMED,kepler,CONFIRMED,0.51359123,CONFIRMED
0.299697755,0.8473,346.9,2.03,0.964,53.6,5180.0,4.547,0.782,FALSE POSITIVE,0.299697755,0.8473,346.9,2.03,0.964,53.6,5180.0,4.547,0.782,CONFIRMED,kepler,CONFIRMED,0.56564754,CONFIRMED
